"Page","State","DnaImports","UiImports","UiImportList","RawInput","RawSelect","RawTextarea","RawTable","RawInputDate","DnaDataTableCard","DnaPageHeader","DnaKpiGrid","DnaCell","DnaSearchableSelect","DnaDatePicker","DnaNumberInput","DnaCurrencyInput","DnaConfirmDialog","UseDnaToast","DnaModal","DnaToolbar","DnaSelect","DnaInput","DnaBadge","DnaTabNav","DnaTable","BadgeBugCount","BadgeBugLines","DashboardCard","Rounded24","BorderColorVar","Score"
"master\warehouses\page.tsx","DNA","1","0","","3","0","0","2","0","6","3","3","14","0","0","0","0","2","2","6","0","2","7","0","0","0","1","891","0","0","0","40"
"my-requests\page.tsx","MIXED","0","2","from ""@/components/ui/dialog""; from ""@/components/ui/select""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","12","0","0","4","63,64,65,66","4","2","0","14"
"production\page.tsx","DNA","3","0","","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","2"
"production\audit\page.tsx","MIXED","1","1","from ""@/components/ui/card""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","1","108","0","0","0","4"
"production\batch-records\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"production\filling\page.tsx","DNA","1","0","","13","1","2","1","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","5","2","0","0","","0","0","0","5"
"production\formula-adjustment\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"production\material-requisition\page.tsx","DNA","1","0","","5","1","2","1","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","7","2","0","0","","0","0","0","15"
"production\mixing\page.tsx","DNA","1","0","","15","1","2","1","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","5","2","0","0","","0","0","0","3"
"production\my-performance\page.tsx","DNA","4","0","","0","0","0","1","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","4"
"production\operations\page.tsx","MIXED","1","4","from ""@/components/ui/tabs""; from ""@/components/ui/dropdown-menu""; from ""@/components/ui/dialog""; from ""@/components/ui/textarea""","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","2","332,334","0","0","0","3"
"production\packaging\page.tsx","DNA","1","0","","13","1","2","1","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","5","2","0","0","","0","0","0","5"
"production\qc-release\page.tsx","DNA","1","0","","4","0","1","1","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","7","2","0","0","","0","0","0","18"
"production\schedule\page.tsx","DNA","1","0","","7","3","1","1","2","3","2","3","0","0","0","0","0","0","2","5","0","0","0","9","2","0","0","","0","0","0","14"
"production\spk\page.tsx","DNA","1","0","","0","1","0","2","0","1","2","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","","0","0","0","3"
"production\warehouse\page.tsx","DNA","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","","0","0","0","6"
"production\work-orders\page.tsx","DNA","1","0","","12","2","2","1","2","3","2","3","0","0","0","0","0","0","2","7","0","0","0","7","2","0","0","","0","0","0","9"
"project-control\page.tsx","NONE","0","0","","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-5"
"project-control\checklist-tracking\page.tsx","DNA","1","0","","1","1","0","2","0","3","2","0","2","0","0","0","0","0","2","0","0","0","0","7","0","6","2","539,661","0","0","0","18"
"project-control\[projectId]\page.tsx","NONE","0","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-1"
"qc\checklist\progress\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","0","0","0","","0","0","0","10"
"qc\checklist\tracking\page.tsx","DNA","1","0","","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","","0","2","2","1"
"qc\checklist-category\page.tsx","DNA","1","0","","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","6","10","1"
"qc\coa\page.tsx","DNA","1","0","","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","2","224,297","0","3","5","7"
"qc\inspections\page.tsx","DNA","1","0","","6","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","0","0","2","219,419","0","5","3","3"
"qc\report\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","","0","1","0","5"
"qc\stability\page.tsx","DNA","1","0","","0","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","0","0","","0","0","2","14"
"qc\workbench\page.tsx","DNA","1","0","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","0","0","3","424,476,654","0","0","4","12"
"rnd\batch-record\page.tsx","DNA","1","0","","5","1","1","1","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","15","2","0","0","","0","0","0","24"
"rnd\cogs-request\page.tsx","DNA","1","0","","7","1","1","2","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","11","2","0","0","","0","0","0","17"
"rnd\design\page.tsx","DNA","1","0","","6","1","0","1","1","3","2","3","0","0","0","0","0","0","2","5","0","0","0","19","2","0","0","","0","0","0","28"
"rnd\formula\page.tsx","DNA","1","0","","4","2","0","2","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","11","2","0","0","","0","0","0","20"
"rnd\formula\[id]\page.tsx","MIXED","1","3","from ""@/components/ui/button""; from ""@/components/ui/label""; from ""@/components/ui/select""","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","","0","0","0","11"
"rnd\formula-adjustment\page.tsx","DNA","1","0","","3","1","1","1","0","3","2","3","0","0","0","0","0","0","2","5","0","0","0","11","2","0","0","","0","0","0","22"
"rnd\inbox\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","","0","0","0","2"
"rnd\lab-test\page.tsx","MIXED","1","3","from ""@/components/ui/table""; from ""@/components/ui/dialog""; from ""@/components/ui/select""","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","0","0","0","","0","0","0","6"
"rnd\master-inci\page.tsx","MIXED","1","4","from ""@/components/ui/dropdown-menu""; from ""@/components/ui/dialog""; from ""@/components/ui/button""; from ""@/components/ui/label""","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","","0","0","0","-2"
"rnd\npf\page.tsx","DNA","1","0","","7","2","1","1","0","3","2","3","0","0","0","0","0","0","2","7","0","0","0","13","2","0","0","","0","0","0","21"
"rnd\pipeline\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"rnd\project-monitoring\page.tsx","DNA","1","0","","6","2","1","1","2","3","2","3","0","0","0","0","0","0","2","5","0","0","0","15","2","0","0","","0","0","0","22"
"rnd\repository\page.tsx","MIXED","1","1","from ""@/components/ui/table""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","","0","0","0","6"
