# UUID_CONVERSION_ALLOWLIST

Generated from canonical Prisma schema. Each entry: Prisma model, table (per @@map or default snake_case), column declared @db.Uuid.
Total entries: 377

| Prisma model | Table | Column | File |
| JournalLine | journal_lines | taxAccountId | finance.prisma |
| KpiMetricDefinition | kpi_metric_definitions | id | hr.prisma |
| KpiPointLog | kpi_point_logs | employeeId | hr.prisma |
| KpiPointLog | kpi_point_logs | id | hr.prisma |
| KpiPointLog | kpi_point_logs | planId | hr.prisma |
| KpiPointLog | kpi_point_logs | qcAuditId | hr.prisma |
| KpiPointLog | kpi_point_logs | soId | hr.prisma |
| KpiScore | kpi_scores | employeeId | hr.prisma |
| KpiScore | kpi_scores | id | hr.prisma |
| KpiScore | kpi_scores | periodId | hr.prisma |
| LabTestResult | lab_test_results | formulaId | rnd.prisma |
| LabTestResult | lab_test_results | id | rnd.prisma |
| LabTestResult | lab_test_results | testerId | rnd.prisma |
| LaborRate | labor_rates | id | production.prisma |
| LandingPageConversion | landing_page_conversions | id | website.prisma |
| LandingPageVisit | landing_page_visits | id | website.prisma |
| LeadActivity | lead_activities | id | bussdev.prisma |
| LeadActivity | lead_activities | leadId | bussdev.prisma |
| LeadActivity | lead_activities | validatedBy | bussdev.prisma |
| LeadAttribute | lead_attributes | id | marketing.prisma |
| LeadAttribute | lead_attributes | leadId | marketing.prisma |
| LeadCapture | lead_captures | assignedTo | marketing.prisma |
| LeadCapture | lead_captures | id | marketing.prisma |
| LeadMessage | lead_messages | id | marketing.prisma |
| LeadMessage | lead_messages | leadId | marketing.prisma |
| LeadTimelineLog | lead_timeline_logs | id | bussdev.prisma |
| LeadTimelineLog | lead_timeline_logs | leadId | bussdev.prisma |
| LegalStaff | legal_staffs | id | legal.prisma |
| LostDeal | lost_deals | bdId | bussdev.prisma |
| LostDeal | lost_deals | id | bussdev.prisma |
| LostDeal | lost_deals | leadId | bussdev.prisma |
| Machine | machines | id | production.prisma |
| MarketingTarget | marketing_targets | id | marketing.prisma |
| MasterCategory | master_categories | id | warehouse.prisma |
| Currency | master_currencies | id | finance.prisma |
| MasterInci | master_inci | id | legal.prisma |
| TaxRate | master_tax_rates | id | finance.prisma |
| MaterialInventory | material_inventories | id | warehouse.prisma |
| MaterialInventory | material_inventories | locationId | warehouse.prisma |
| MaterialInventory | material_inventories | materialId | warehouse.prisma |
| MaterialInventory | material_inventories | supplierId | warehouse.prisma |
| MaterialItem | material_items | categoryId | warehouse.prisma |
| MaterialItem | material_items | id | warehouse.prisma |
| MaterialItem | material_items | inventoryAccountId | warehouse.prisma |
| MaterialItem | material_items | salesAccountId | warehouse.prisma |
| MaterialRequisitionHeader | material_requisition_headers | createdById | production.prisma |
| MaterialRequisitionHeader | material_requisition_headers | fromWarehouse | production.prisma |
| MaterialRequisitionHeader | material_requisition_headers | id | production.prisma |
| MaterialRequisitionHeader | material_requisition_headers | toWarehouse | production.prisma |
| MaterialRequisitionItem | material_requisition_items | headerId | production.prisma |
| MaterialRequisitionItem | material_requisition_items | id | production.prisma |
| MaterialRequisitionItem | material_requisition_items | materialId | production.prisma |
| MaterialRequisition | material_requisitions | id | production.prisma |
| MaterialRequisition | material_requisitions | materialId | production.prisma |
| MaterialRequisition | material_requisitions | woId | production.prisma |
| MaterialRequisition | material_requisitions | workOrderId | production.prisma |
| MaterialReturn | material_returns | id | production.prisma |
| MaterialReturn | material_returns | materialId | production.prisma |
| MaterialReturn | material_returns | workOrderId | production.prisma |
| MaterialValuation | material_valuations | id | warehouse.prisma |
| MaterialValuation | material_valuations | materialId | warehouse.prisma |
| NewProductForm | new_product_forms | id | bussdev.prisma |
| NewProductForm | new_product_forms | leadId | bussdev.prisma |
| Notification | notifications | id | system.prisma |
| Notification | notifications | userId | system.prisma |
| Payment | payments | id | finance.prisma |
| Payment | payments | invoiceId | finance.prisma |
| Payment | payments | receivingAccountId | finance.prisma |
| Payment | payments | verifiedBy | finance.prisma |
| PayrollItem | payroll_items | employeeId | hr.prisma |
| PayrollItem | payroll_items | id | hr.prisma |
| PayrollItem | payroll_items | payrollId | hr.prisma |
| Payroll | payrolls | authorizedById | hr.prisma |
| Payroll | payrolls | id | hr.prisma |
| Payroll | payrolls | periodId | hr.prisma |
| PNBPRequest | pnbp_requests | financeRecordId | legal.prisma |
| PNBPRequest | pnbp_requests | id | legal.prisma |
| PNBPRequest | pnbp_requests | pipelineId | legal.prisma |
| ProductionLog | production_logs | id | production.prisma |
| ProductionLog | production_logs | machineId | production.prisma |
| ProductionLog | production_logs | materialInventoryId | production.prisma |
| ProductionLog | production_logs | operatorId | production.prisma |
| ProductionLog | production_logs | planId | production.prisma |
| ProductionLog | production_logs | workOrderId | production.prisma |
| ProductionMaterialUsage | production_material_usages | id | production.prisma |
| ProductionMaterialUsage | production_material_usages | inventoryId | production.prisma |
| ProductionMaterialUsage | production_material_usages | materialId | production.prisma |
| ProductionMaterialUsage | production_material_usages | planId | production.prisma |
| ProductionMaterialUsage | production_material_usages | workOrderId | production.prisma |
| ProductionPlan | production_plans | adminId | production.prisma |
| ProductionPlan | production_plans | formulaId | production.prisma |
| ProductionPlan | production_plans | id | production.prisma |
| ProductionPlan | production_plans | soId | production.prisma |
| ProductionSchedule | production_schedules | id | production.prisma |
| ProductionSchedule | production_schedules | machineId | production.prisma |
| ProductionSchedule | production_schedules | workOrderId | production.prisma |
| ProductionStepDetail | production_step_details | id | production.prisma |
| ProductionStepDetail | production_step_details | materialId | production.prisma |
| ProductionStepDetail | production_step_details | scheduleId | production.prisma |
| ProductionStepLog | production_step_logs | id | production.prisma |
| ProductionStepLog | production_step_logs | woId | production.prisma |
| PurchaseOrderItem | purchase_order_items | id | warehouse.prisma |
| PurchaseOrderItem | purchase_order_items | materialId | warehouse.prisma |
| PurchaseOrderItem | purchase_order_items | poId | warehouse.prisma |
| PurchaseOrderItem | purchase_order_items | taxId | warehouse.prisma |
| PurchaseOrder | purchase_orders | currencyId | warehouse.prisma |
| PurchaseOrder | purchase_orders | id | warehouse.prisma |
| PurchaseOrder | purchase_orders | leadId | warehouse.prisma |
| PurchaseOrder | purchase_orders | requestId | warehouse.prisma |
| PurchaseOrder | purchase_orders | scmId | warehouse.prisma |
| PurchaseOrder | purchase_orders | supplierId | warehouse.prisma |
| PurchaseRequestItem | purchase_request_items | id | warehouse.prisma |
| PurchaseRequestItem | purchase_request_items | materialId | warehouse.prisma |
| PurchaseRequestItem | purchase_request_items | requestId | warehouse.prisma |
| PurchaseRequestItem | purchase_request_items | requirementItemId | warehouse.prisma |
| PurchaseRequest | purchase_requests | createdById | warehouse.prisma |
| PurchaseRequest | purchase_requests | id | warehouse.prisma |
| PurchaseRequest | purchase_requests | requirementId | warehouse.prisma |
| PurchaseRequest | purchase_requests | supplierId | warehouse.prisma |
| PurchaseRequest | purchase_requests | warehouseId | warehouse.prisma |
| PurchaseReturnItem | purchase_return_items | id | warehouse.prisma |
| PurchaseReturnItem | purchase_return_items | materialId | warehouse.prisma |
| PurchaseReturnItem | purchase_return_items | returnId | warehouse.prisma |
| PurchaseReturn | purchase_returns | createdById | warehouse.prisma |
| PurchaseReturn | purchase_returns | id | warehouse.prisma |
