web_scraper_order,web_scraper_start_url,pagination,kode,barang,harga_beli,data,sub_kategori,kategori,satuan,barang2
"1788654371-292","https://kil.gserp.id/goods-manage","","KSR00077","Oem List Gold","2,100.00","292","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-293","https://kil.gserp.id/goods-manage","","KSR00078","Ibram Baby Body Lotion","2,000.00","293","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-294","https://kil.gserp.id/goods-manage","","KSR00079","Ckel Hydraglow Gentle","2,100.00","294","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-295","https://kil.gserp.id/goods-manage","","KSR00080","Ckel Calm and Bright Essence Toner","2,000.00","295","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-296","https://kil.gserp.id/goods-manage","","KSR00081","Hi Titi Queen Mask","2,000.00","296","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-297","https://kil.gserp.id/goods-manage","","KSR00082","Labbol Serum 3%","2,000.00","297","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-298","https://kil.gserp.id/goods-manage","","KSR00083","Ckel Hyaluna Barrier Moisturizer Gel","2,000.00","298","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-299","https://kil.gserp.id/goods-manage","","KSR00084","Sdctve Parfume","1,500.00","299","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-300","https://kil.gserp.id/goods-manage","","KSR00085","Labbol Hair Tonic","2,000.00","300","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-301","https://kil.gserp.id/goods-manage","","KSR00086","Ckel Centabright","2,100.00","301","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-302","https://kil.gserp.id/goods-manage","","KSR00087","Lasoge Parfume 30ml","2,000.00","302","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-303","https://kil.gserp.id/goods-manage","","KSR00088","Lvent Luxe Noir","2,000.00","303","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-304","https://kil.gserp.id/goods-manage","","KSR00089","Just Beauty Serum","2,000.00","304","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-305","https://kil.gserp.id/goods-manage","","KSR00090","Just Beauty Essence","1,800.00","305","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-306","https://kil.gserp.id/goods-manage","","KSR00091","Just Beauty Gel Low PH Cleanser","2,100.00","306","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-307","https://kil.gserp.id/goods-manage","","KSR00092","Just Beauty Night Cream","2,100.00","307","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-308","https://kil.gserp.id/goods-manage","","KSR00093","Sprezzata Eyelash & Eyebrow Serum","2,000.00","308","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-309","https://kil.gserp.id/goods-manage","","KSR00094","Labbol Serum 5%","2,000.00","309","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-310","https://kil.gserp.id/goods-manage","","KSR00095","Sigviolet Evander","2,000.00","310","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-311","https://kil.gserp.id/goods-manage","","KSR00096","Kqq Brightening Serum","2,000.00","311","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-312","https://kil.gserp.id/goods-manage","","KSR00097","2Ins Beauty Sunscreen Tinted","2,100.00","312","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-313","https://kil.gserp.id/goods-manage","","KSR00098","Afqa Parfume","2,200.00","313","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-314","https://kil.gserp.id/goods-manage","","KSR00099","Erganza Parfume","2,000.00","314","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-315","https://kil.gserp.id/goods-manage","","KSR00100","Naqi Glow Cream","2,100.00","315","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-316","https://kil.gserp.id/goods-manage","","KSR00101","Daivie Luxurious Scent 30ml","1,500.00","316","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-317","https://kil.gserp.id/goods-manage","","KSR00102","Daivie Luxurious Scent 50ml","2,000.00","317","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-318","https://kil.gserp.id/goods-manage","","KSR00103","Sixolic Parfume 30ml","2,000.00","318","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-319","https://kil.gserp.id/goods-manage","","KSR00104","Guzel Noore Serum 20ml","1,900.00","319","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-320","https://kil.gserp.id/goods-manage","","KSR00105","Shaby Parfume","1,900.00","320","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-321","https://kil.gserp.id/goods-manage","","KSR00106","Meerand Parfume","1,900.00","321","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-322","https://kil.gserp.id/goods-manage","","KSR00107","Baikins Bar Soap","1,900.00","322","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-323","https://kil.gserp.id/goods-manage","","KSR00108","Eubelle Eyelash & Eyebrow","2,000.00","323","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-324","https://kil.gserp.id/goods-manage","","KSR00109","Uwajie Lip Cream","2,300.00","324","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-325","https://kil.gserp.id/goods-manage","","KSR00110","Filira Parfume","1,500.00","325","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-326","https://kil.gserp.id/goods-manage","","KSR00111","Urizq Eyelash","2,000.00","326","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-327","https://kil.gserp.id/goods-manage","","KSR00112","Sigviolet Hair Growth Serum","1,950.00","327","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-328","https://kil.gserp.id/goods-manage","","KSR00113","Olivine Parfume","1,950.00","328","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-329","https://kil.gserp.id/goods-manage","","KSR00114","Jvea Luxe Unwritten Parfum","2,200.00","329","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-330","https://kil.gserp.id/goods-manage","","KSR00115","Just Beauty Day Cream","2,200.00","330","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-331","https://kil.gserp.id/goods-manage","","KSR00116","Eyeslash Putih","2,200.00","331","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-332","https://kil.gserp.id/goods-manage","","KSR00117","R2L Parfum","2,350.00","332","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-333","https://kil.gserp.id/goods-manage","","KSR00118","Glamely Parfum","2,350.00","333","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-334","https://kil.gserp.id/goods-manage","","KSR00119","Glowind Serum","2,350.00","334","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-335","https://kil.gserp.id/goods-manage","","KSR00120","Sigviolet Helios Hair Tonic","1,650.00","335","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-336","https://kil.gserp.id/goods-manage","","KSR00121","Filira Parfume (New)","1,650.00","336","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-337","https://kil.gserp.id/goods-manage","","KSR00122","Sigviolet Foam Cleanser Kecil","2,200.00","337","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-338","https://kil.gserp.id/goods-manage","","KSR00123","Sigviolet Foam Cleanser Besar","1,300.00","338","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-339","https://kil.gserp.id/goods-manage","","KSR00124","Moriskincare","2,200.00","339","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-340","https://kil.gserp.id/goods-manage","","KSR00125","ChicaSkin","0.00","340","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-341","https://kil.gserp.id/goods-manage","","KSR00126","Elsme Brightening Cream","1,700.00","341","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-342","https://kil.gserp.id/goods-manage","","KSR00127","Dj Glow Lotion","2,350.00","342","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-343","https://kil.gserp.id/goods-manage","","KSR00128","Skincarela Cream","2,350.00","343","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-344","https://kil.gserp.id/goods-manage","","KSR00129","Lashae Parfum","1,800.00","344","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-345","https://kil.gserp.id/goods-manage","","KSR00130","ZBR Parfum","1,800.00","345","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-346","https://kil.gserp.id/goods-manage","","KSR00131","Glowin Body Toner","1,800.00","346","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-347","https://kil.gserp.id/goods-manage","","KSR00132","Sinar Whitening Serum","1,800.00","347","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-348","https://kil.gserp.id/goods-manage","","KSR00133","Skintiya Cream","1,800.00","348","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-349","https://kil.gserp.id/goods-manage","","KSR00134","Chloe","1,800.00","349","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-350","https://kil.gserp.id/goods-manage","","KSR00135","Hada Parfum","1,800.00","350","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-351","https://kil.gserp.id/goods-manage","","KSR00136","In The Name Of Bali Hand Cream","20,500.00","351","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-352","https://kil.gserp.id/goods-manage","","KSR00137","Icare b Whitening Serum","18,500.00","352","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-353","https://kil.gserp.id/goods-manage","","KSR00138","Icare b Acne & Bright Serum","2,000.00","353","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-354","https://kil.gserp.id/goods-manage","","KSR00139","Elseme Eyelash","0.00","354","-","Kemasan Sekunder","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-355","https://kil.gserp.id/goods-manage","","KPR00001","RF100ML PUTIH","1,500.00","355","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/d519c0dfd0d94e54c69f40e0e5bc3e21.jpeg"
"1788654371-356","https://kil.gserp.id/goods-manage","","KPR00002","RF100ML CLEAR","950.00","356","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/ac49f01964fec4d3a9e0e69dc8d13e57.png"
"1788654371-357","https://kil.gserp.id/goods-manage","","KPR00003","RF100ML FROSTED","1,115.00","357","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/141e3770a7243ec55c5a5ae9f266e270.jpeg"
"1788654371-358","https://kil.gserp.id/goods-manage","","KPR00004","RF100ML HITAM","1,200.00","358","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-359","https://kil.gserp.id/goods-manage","","KPR00005","RF100ML AMBER","1,700.00","359","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-360","https://kil.gserp.id/goods-manage","","KPR00006","TUBULAR 70ML PUTIH","1,000.00","360","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/1912f6b2c46f83c13c80db1b2d71b736.png"
"1788654371-361","https://kil.gserp.id/goods-manage","","KPR00007","TUBULAR 70ML CLEAR","1,400.00","361","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/7f3767577a67501a52bdca615fce541d.PNG"
"1788654371-362","https://kil.gserp.id/goods-manage","","KPR00008","TUBULAR 70ML FROSTED","0.00","362","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-363","https://kil.gserp.id/goods-manage","","KPR00009","TUBULAR 70ML HITAM","0.00","363","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-364","https://kil.gserp.id/goods-manage","","KPR00010","TUBULAR 70ML AMBER","1,700.00","364","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-365","https://kil.gserp.id/goods-manage","","KPR00011","RF 150ML PUTIH","0.00","365","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-366","https://kil.gserp.id/goods-manage","","KPR00012","RF 150ML CLEAR","1,000.00","366","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-367","https://kil.gserp.id/goods-manage","","KPR00013","RF 150ML FROSTED","0.00","367","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-368","https://kil.gserp.id/goods-manage","","KPR00014","RF 150ML HITAM","0.00","368","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-369","https://kil.gserp.id/goods-manage","","KPR00015","RF 150ML AMBER","0.00","369","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-370","https://kil.gserp.id/goods-manage","","KPR00016","RF 250ML CLEAR","3,000.00","370","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-371","https://kil.gserp.id/goods-manage","","KPR00017","PET 250ML HITAM","2,000.00","371","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/b7296629e28e86d7dd9af7e99b7e66c9.PNG"
"1788654371-372","https://kil.gserp.id/goods-manage","","KPR00018","PET 250ML CLEAR","0.00","372","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-373","https://kil.gserp.id/goods-manage","","KPR00019","GENDUT 150ML CLEAR","1,500.00","373","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-374","https://kil.gserp.id/goods-manage","","KPR00020","ERHA 100ML LIST GOLD","3,800.00","374","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-375","https://kil.gserp.id/goods-manage","","KPR00021","ERHA 100ML LIST SILVER","0.00","375","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-376","https://kil.gserp.id/goods-manage","","KPR00022","ERHA 100ML FULL PUTIH","0.00","376","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-377","https://kil.gserp.id/goods-manage","","KPR00023","ERHA 60ML LIST GOLD","3,500.00","377","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-378","https://kil.gserp.id/goods-manage","","KPR00024","ERHA 60ML LIST SILVER","0.00","378","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-379","https://kil.gserp.id/goods-manage","","KPR00025","ERHA 60ML FULL PUTIH","0.00","379","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-380","https://kil.gserp.id/goods-manage","","KPR00026","RF 60ML PUTIH","1,000.00","380","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/56b9f97b67b98b50ac7ebc89fe268d1a.PNG"
"1788654371-381","https://kil.gserp.id/goods-manage","","KPR00027","RF 60ML CLEAR","740.00","381","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-382","https://kil.gserp.id/goods-manage","","KPR00028","PET 60ML PUTIH","650.00","382","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/2df2fc4f3f8ea11d64ca1c9cda45b4b6.PNG"
"1788654371-383","https://kil.gserp.id/goods-manage","","KPR00029","PET 60ML CLEAR","0.00","383","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-384","https://kil.gserp.id/goods-manage","","KPR00030","PET 60ML FROSTED","0.00","384","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-385","https://kil.gserp.id/goods-manage","","KPR00031","PET 60ML HITAM","1,000.00","385","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/6a13e0ed6969bf20a91bd09536a31e86.PNG"
"1788654371-386","https://kil.gserp.id/goods-manage","","KPR00032","PET 60ML AMBER","850.00","386","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/9b45e394d30f117892ee8a4150c4564a.PNG"
"1788654371-387","https://kil.gserp.id/goods-manage","","KPR00033","STICK 50 ML MYSO VANILLA & ROSE","8,800.00","387","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-388","https://kil.gserp.id/goods-manage","","KPR00034","STICK 50 ML MYSO SANDALWOOD & ORANGE","8,800.00","388","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-389","https://kil.gserp.id/goods-manage","","KPR00035","RF 100ML SUKLAY","0.00","389","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-390","https://kil.gserp.id/goods-manage","","KPR00036","STICK 50ML PUTIH","8,800.00","390","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-391","https://kil.gserp.id/goods-manage","","KPR00037","FOAM 60ML PUTIH","0.00","391","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-392","https://kil.gserp.id/goods-manage","","KPR00038","FOAM 60ML CLEAR","6,500.00","392","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-393","https://kil.gserp.id/goods-manage","","KPR00039","FOAM 100ML PUTIH","4,425.00","393","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/47aad56e0713c97bbb96f9e7a49bb055.jpeg"
"1788654371-394","https://kil.gserp.id/goods-manage","","KPR00040","FOAM 100ML CLEAR","6,500.00","394","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-395","https://kil.gserp.id/goods-manage","","KPR00041","FOAM 100ML HITAM","8,500.00","395","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-396","https://kil.gserp.id/goods-manage","","KPR00042","RF PUTIH 15ML TUTUP PUMP","4,600.00","396","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-397","https://kil.gserp.id/goods-manage","","KPR00043","PUTRI 100ML LIST GOLD","0.00","397","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-398","https://kil.gserp.id/goods-manage","","KPR00044","PLASTIK 100ML FROSTED TONER","0.00","398","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-399","https://kil.gserp.id/goods-manage","","KPR00045","RF KACA 50ML FROSTED","3,800.00","399","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-400","https://kil.gserp.id/goods-manage","","KPR00046","Pump LR 24 Neck Silver","2,000.00","400","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-401","https://kil.gserp.id/goods-manage","","KPR00047","Pump LR 24 Neck Gold","2,000.00","401","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-402","https://kil.gserp.id/goods-manage","","KPR00048","Presstop Silver","2,400.00","402","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/1768293112_783f8b80e53691f0b2fb.png"
"1788654371-403","https://kil.gserp.id/goods-manage","","KPR00049","Presstop Gold","2,900.00","403","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/a37babd20eee32530ea281c02fb9787c.png"
"1788654371-404","https://kil.gserp.id/goods-manage","","KPR00050","Spray Putih Neck 24 Half Cap","435.00","404","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-405","https://kil.gserp.id/goods-manage","","KPR00051","Spray Putih Neck 24 Full Cap","0.00","405","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-406","https://kil.gserp.id/goods-manage","","KPR00052","Spray Putih Neck 18 Half Cap","650.00","406","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/daddd6e08019cbbfe05e53deeda3162a.PNG"
"1788654371-407","https://kil.gserp.id/goods-manage","","KPR00053","Spray Putih Neck 18 Full Cap","0.00","407","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-408","https://kil.gserp.id/goods-manage","","KPR00054","Spray Hitam Neck 24 Half Cap","450.50","408","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/15d94f8decefe6c6b6856c58cad81ba9.PNG"
"1788654371-409","https://kil.gserp.id/goods-manage","","KPR00055","Spray Hitam Neck 24 Full Cap","1,500.00","409","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/9e023c3d478134967fdcaea021a573c6.PNG"
"1788654371-410","https://kil.gserp.id/goods-manage","","KPR00056","Spray Hitam Neck 18 Half Cap Tutup Hitam","0.00","410","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-411","https://kil.gserp.id/goods-manage","","KPR00057","Spray Hitam Neck 18","1,100.00","411","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-412","https://kil.gserp.id/goods-manage","","KPR00058","Spray Putih Neck 24 Gold Half Cap","1,300.00","412","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/fbfc2962d42ac3f7347fef2b590a77a4.PNG"
"1788654371-413","https://kil.gserp.id/goods-manage","","KPR00059","Spray Putih Neck 24 Silver Half Cap","2,670.00","413","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/02192c634047db2e9a956d9f6f461c7f.PNG"
"1788654371-414","https://kil.gserp.id/goods-manage","","KPR00060","Spray Putih Neck 24 Gold Full Cap","2,850.00","414","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-415","https://kil.gserp.id/goods-manage","","KPR00061","Spray Putih Neck 24 Silver Full Cap","2,750.00","415","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-416","https://kil.gserp.id/goods-manage","","KPR00062","Spray Putih Neck 18 Gold Half Cap","2,000.00","416","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/a3aa502b1d7fbd9810ece545a402840c.PNG"
"1788654371-417","https://kil.gserp.id/goods-manage","","KPR00063","Spray Putih Neck 18 Silver Half Cap","2,100.00","417","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-418","https://kil.gserp.id/goods-manage","","KPR00064","Spray Putih Neck 18 Gold Full Cap","0.00","418","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-419","https://kil.gserp.id/goods-manage","","KPR00065","Spray Putih Neck 18 Silver Full Cap","0.00","419","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-420","https://kil.gserp.id/goods-manage","","KPR00066","Half Pump Putih Neck 24 Gold Half Cap","2,950.00","420","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-421","https://kil.gserp.id/goods-manage","","KPR00067","Half Pump Putih Neck 24 Silver Half Cap","0.00","421","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-422","https://kil.gserp.id/goods-manage","","KPR00068","Half Pump Putih Neck 24 Gold Muda Full Cap","3,400.00","422","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/096d0cda216e007557444249ed97263d.PNG"
"1788654371-423","https://kil.gserp.id/goods-manage","","KPR00069","Half Pump Putih Neck 24 Silver Full Cap","3,150.00","423","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-424","https://kil.gserp.id/goods-manage","","KPR00070","Half Pump Putih Neck 24 Full Cap List Gold","0.00","424","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-425","https://kil.gserp.id/goods-manage","","KPR00071","Half Pump Putih Neck 24 Full Cap List Silver","2,450.00","425","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/4dbe40b7861fe21a4d79d4b33836b633.png"
"1788654371-426","https://kil.gserp.id/goods-manage","","KPR00072","Spray Putih Neck 24 Full Cap List Gold","0.00","426","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-427","https://kil.gserp.id/goods-manage","","KPR00073","Spray Putih Neck 24 Full Cap List Silver","2,500.00","427","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-428","https://kil.gserp.id/goods-manage","","KPR00074","Pump Putih Neck 18 Gold Half Cap","0.00","428","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-429","https://kil.gserp.id/goods-manage","","KPR00075","Pump Putih Neck 18 Silver Half Cap","0.00","429","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-430","https://kil.gserp.id/goods-manage","","KPR00076","Pump Putih Neck 18 Gold Full Cap","2,950.00","430","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/0b31a6794463e67907618eb838dc9958.PNG"
"1788654371-431","https://kil.gserp.id/goods-manage","","KPR00077","Pump Putih Neck 18 Silver Full Cap","0.00","431","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-432","https://kil.gserp.id/goods-manage","","KPR00078","Pump Clip Gold Muda Besar","1,850.00","432","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/c7f8dbe6e1c8e136b85f2b3c2f1109d1.png"
"1788654371-433","https://kil.gserp.id/goods-manage","","KPR00079","Pump Clip Silver","3,550.00","433","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-434","https://kil.gserp.id/goods-manage","","KPR00080","Pump Hitam","2,300.00","434","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/common/202601/52cacfb5fb586a9ad8a637f1a38208cc.PNG"
"1788654371-435","https://kil.gserp.id/goods-manage","","KPR00081","Pump Putih","0.00","435","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-436","https://kil.gserp.id/goods-manage","","KPR00082","Putih clip Pink","1,500.00","436","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-437","https://kil.gserp.id/goods-manage","","KPR00083","Pump clip Ungu","0.00","437","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-438","https://kil.gserp.id/goods-manage","","KPR00084","Fliptop Putih","1,200.00","438","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
"1788654371-439","https://kil.gserp.id/goods-manage","","KPR00085","Fliptop Clear","0.00","439","-","Kemasan Primer","pcs","https://kil.gserp.id/uploads/default.png"
