web_scraper_order,web_scraper_start_url,pagination,kode,barang,harga_beli,data,sub_kategori,kategori,satuan,barang2
"1788654371-39","https://kil.gserp.id/goods-manage","","BBK00039","OMC","251.00","39","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-40","https://kil.gserp.id/goods-manage","","BBK00040","Calendulla Extract","620.00","40","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-41","https://kil.gserp.id/goods-manage","","BBK00041","Argan Oil","1,250.00","41","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-42","https://kil.gserp.id/goods-manage","","BBK00042","Comthing SGS","2,500.00","42","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-43","https://kil.gserp.id/goods-manage","","BBK00043","Rice Extract","450.00","43","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-44","https://kil.gserp.id/goods-manage","","BBK00044","Hairdensyl Complex","2,054.25","44","","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-45","https://kil.gserp.id/goods-manage","","BBK00045","Rice Scrub Powder","450.00","45","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-46","https://kil.gserp.id/goods-manage","","BBK00046","Turmeric Powder Extract","600.00","46","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-47","https://kil.gserp.id/goods-manage","","BBK00047","Coconut OIl","98.00","47","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-48","https://kil.gserp.id/goods-manage","","BBK00048","Pentavitin","1,253.63","48","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-49","https://kil.gserp.id/goods-manage","","BBK00049","Retinol (Vitamin A Palmitate Oil)","2,300.00","49","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-50","https://kil.gserp.id/goods-manage","","BBK00050","Rejutime ADE (Adenosine)","1,200.00","50","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-51","https://kil.gserp.id/goods-manage","","BBK00051","Snail Slime Extract","1,500.00","51","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-52","https://kil.gserp.id/goods-manage","","BBK00052","Starmilk WSC 50","1,319.00","52","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-53","https://kil.gserp.id/goods-manage","","BBK00053","Evermat","5.00","53","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-54","https://kil.gserp.id/goods-manage","","BBK00054","Hentowhite","10,500.00","54","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-55","https://kil.gserp.id/goods-manage","","BBK00055","Antisebum GMP","5.00","55","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-56","https://kil.gserp.id/goods-manage","","BBK00056","Wheylcare Allantoin","450.00","56","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-57","https://kil.gserp.id/goods-manage","","BBK00057","Repoly 100","450.00","57","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-58","https://kil.gserp.id/goods-manage","","BBK00058","Hydragan","3,650.00","58","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-59","https://kil.gserp.id/goods-manage","","BBK00059","Annonasense CLR","3,000.00","59","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-60","https://kil.gserp.id/goods-manage","","BBK00060","M-ZNO PAS","1,368.00","60","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
