web_scraper_order,web_scraper_start_url,pagination,kode,kategori,data,deskripsi
"1788652375-1","https://kil.gserp.id/goods-category-manage","","BBK","Bahan Baku","1","-"
"1788652375-2","https://kil.gserp.id/goods-category-manage","","BRU","Barang Ruahan","2","-"
"1788652375-3","https://kil.gserp.id/goods-category-manage","","BSJ","Barang Setengah Jadi","3","-"
"1788652375-4","https://kil.gserp.id/goods-category-manage","","BPB","Barang Pembantu","4","-"
"1788652375-5","https://kil.gserp.id/goods-category-manage","","KPR","Kemasan Primer","5","-"
"1788652375-6","https://kil.gserp.id/goods-category-manage","","KSR","Kemasan Sekunder","6","-"
"1788652375-7","https://kil.gserp.id/goods-category-manage","","BJD","Barang Jadi","7","-"
